Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Field of View,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.83374612,-2.958805701,JCMTCAL,56620.25051,24,SCUBA-2,SCUBA-2-850um,189,0.064655657,pointing,science,raw-850um,scuba2_00024_20131124T060031,caom:JCMT/scuba2_00024_20131124T060031/raw-850um
oCeti,34.84334222,-2.964638968,JCMTCAL,56331.21448,14,SCUBA-2,SCUBA-2-850um,257,0.073350131,pointing,science,raw-850um,scuba2_00014_20130208T050834,caom:JCMT/scuba2_00014_20130208T050834/raw-850um
oCeti,34.83513685,-2.966027899,JCMTCAL,56615.36905,36,SCUBA-2,SCUBA-2-850um,185,0.080133724,pointing,science,raw-850um,scuba2_00036_20131119T085020,caom:JCMT/scuba2_00036_20131119T085020/raw-850um
oCeti,34.85544162,-2.962972157,JCMTCAL,56640.44953,22,SCUBA-2,SCUBA-2-850um,277,0.068344916,pointing,science,raw-850um,scuba2_00022_20131214T104706,caom:JCMT/scuba2_00022_20131214T104706/raw-850um
oCeti,34.84028262,-2.972833361,JCMTCAL,56598.30247,19,SCUBA-2,SCUBA-2-850um,188,0.063684208,pointing,science,raw-850um,scuba2_00019_20131102T071131,caom:JCMT/scuba2_00019_20131102T071131/raw-850um
oCeti,34.83458056,-2.958805726,JCMTCAL,56313.22781,16,SCUBA-2,SCUBA-2-850um,288,0.071580582,pointing,science,raw-850um,scuba2_00016_20130121T052745,caom:JCMT/scuba2_00016_20130121T052745/raw-850um
oCeti,34.82637507,-2.977555512,JCMTCAL,56613.34073,21,SCUBA-2,SCUBA-2-850um,191,0.083897545,pointing,science,raw-850um,scuba2_00021_20131117T080703,caom:JCMT/scuba2_00021_20131117T080703/raw-850um
oCeti,34.83305075,-2.960750121,JCMTCAL,56623.34352,26,SCUBA-2,SCUBA-2-850um,187,0.068126439,pointing,science,raw-850um,scuba2_00026_20131127T081331,caom:JCMT/scuba2_00026_20131127T081331/raw-850um
oCeti,34.82929566,-2.977694423,JCMTCAL,56639.26767,15,SCUBA-2,SCUBA-2-850um,274,0.085765571,pointing,science,raw-850um,scuba2_00015_20131213T062358,caom:JCMT/scuba2_00015_20131213T062358/raw-850um
oCeti,34.84139522,-2.97366669,JCMTCAL,56571.34826,23,SCUBA-2,SCUBA-2-850um,268,0.075090239,pointing,science,raw-850um,scuba2_00023_20131006T082047,caom:JCMT/scuba2_00023_20131006T082047/raw-850um
oCeti,34.8337461,-2.966027884,JCMTCAL,56626.35272,35,SCUBA-2,SCUBA-2-850um,190,0.070007927,pointing,science,raw-850um,scuba2_00035_20131130T082738,caom:JCMT/scuba2_00035_20131130T082738/raw-850um
oCeti,34.83958724,-2.973527805,JCMTCAL,56562.40949,30,SCUBA-2,SCUBA-2-850um,186,0.069710061,pointing,science,raw-850um,scuba2_00030_20130927T094900,caom:JCMT/scuba2_00030_20130927T094900/raw-850um
oCeti,34.83305071,-2.973666689,JCMTCAL,56565.50095,41,SCUBA-2,SCUBA-2-850um,187,0.064387129,pointing,science,raw-850um,scuba2_00041_20130930T120106,caom:JCMT/scuba2_00041_20130930T120106/raw-850um
oCeti,34.83485872,-2.951444665,JCMTCAL,56562.55124,45,SCUBA-2,SCUBA-2-850um,186,0.069790541,pointing,science,raw-850um,scuba2_00045_20130927T131258,caom:JCMT/scuba2_00045_20130927T131258/raw-850um
oCeti,34.842925,-2.964916742,JCMTCAL,56338.17375,13,SCUBA-2,SCUBA-2-850um,342,0.07015079,pointing,science,raw-850um,scuba2_00013_20130215T041007,caom:JCMT/scuba2_00013_20130215T041007/raw-850um
oCeti,34.84750889,-2.964777854,JCMTCAL,56537.63565,51,SCUBA-2,SCUBA-2-850um,270,0.071778701,pointing,science,raw-850um,scuba2_00051_20130902T151503,caom:JCMT/scuba2_00051_20130902T151503/raw-850um
oCeti,34.84278593,-2.965055629,JCMTCAL,56337.17142,22,SCUBA-2,SCUBA-2-850um,252,0.068541551,pointing,science,raw-850um,scuba2_00022_20130214T040606,caom:JCMT/scuba2_00022_20130214T040606/raw-850um
oCeti,34.83638292,-2.975750008,JCMTCAL,56553.50794,43,SCUBA-2,SCUBA-2-850um,187,0.07410414,pointing,science,raw-850um,scuba2_00043_20130918T121113,caom:JCMT/scuba2_00043_20130918T121113/raw-850um
oCeti,34.84334222,-2.964638968,JCMTCAL,56313.26303,19,SCUBA-2,SCUBA-2-850um,301,0.073350131,pointing,science,raw-850um,scuba2_00019_20130121T061829,caom:JCMT/scuba2_00019_20130121T061829/raw-850um
oCeti,34.84444929,-2.972555584,JCMTCAL,56552.44399,38,SCUBA-2,SCUBA-2-850um,179,0.062014472,pointing,science,raw-850um,scuba2_00038_20130917T103622,caom:JCMT/scuba2_00038_20130917T103622/raw-850um
oCeti,34.83444151,-2.951583541,JCMTCAL,56320.20505,15,SCUBA-2,SCUBA-2-850um,250,0.065871837,pointing,science,raw-850um,scuba2_00015_20130128T045426,caom:JCMT/scuba2_00015_20130128T045426/raw-850um
