Preview,Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
caom:JCMT/scuba2_00017_20130124T055713,oCeti,34.84320314,-2.964638968,JCMTCAL,56316.24826,17,SCUBA-2,SCUBA-2-450um,257,pointing,science,raw-450um,scuba2_00017_20130124T055713,caom:JCMT/scuba2_00017_20130124T055713/raw-450um
caom:JCMT/scuba2_00014_20130101T052814,oCeti,34.83249441,-2.975055569,JCMTCAL,56293.2281,14,SCUBA-2,SCUBA-2-450um,245,pointing,science,raw-450um,scuba2_00014_20130101T052814,caom:JCMT/scuba2_00014_20130101T052814/raw-450um
caom:JCMT/scuba2_00046_20130713T142928,oCeti,34.84472744,-2.972972249,JCMTCAL,56486.60493,46,SCUBA-2,SCUBA-2-450um,269,pointing,science,raw-450um,scuba2_00046_20130713T142928,caom:JCMT/scuba2_00046_20130713T142928/raw-450um
caom:JCMT/scuba2_00017_20130216T053743,oCeti,34.84278592,-2.962555638,JCMTCAL,56339.23498,17,SCUBA-2,SCUBA-2-450um,247,pointing,science,raw-450um,scuba2_00017_20130216T053743,caom:JCMT/scuba2_00017_20130216T053743/raw-450um
caom:JCMT/scuba2_00029_20130214T054641,oCeti,34.84348129,-2.964638967,JCMTCAL,56337.24088,29,SCUBA-2,SCUBA-2-450um,296,pointing,science,raw-450um,scuba2_00029_20130214T054641,caom:JCMT/scuba2_00029_20130214T054641/raw-450um
caom:JCMT/scuba2_00022_20130214T040606,oCeti,34.84278593,-2.965055629,JCMTCAL,56337.17142,22,SCUBA-2,SCUBA-2-450um,252,pointing,science,raw-450um,scuba2_00022_20130214T040606,caom:JCMT/scuba2_00022_20130214T040606/raw-450um
caom:JCMT/scuba2_00019_20130210T053006,oCeti,34.84362037,-2.964638967,JCMTCAL,56333.22936,19,SCUBA-2,SCUBA-2-450um,252,pointing,science,raw-450um,scuba2_00019_20130210T053006,caom:JCMT/scuba2_00019_20130210T053006/raw-450um
caom:JCMT/scuba2_00021_20130208T061933,oCeti,34.84334222,-2.964638967,JCMTCAL,56331.26373,21,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,scuba2_00021_20130208T061933,caom:JCMT/scuba2_00021_20130208T061933/raw-450um
caom:JCMT/scuba2_00047_20130901T142016,oCeti,34.83721745,-2.950611341,JCMTCAL,56536.5978,47,SCUBA-2,SCUBA-2-450um,231,pointing,science,raw-450um,scuba2_00047_20130901T142016,caom:JCMT/scuba2_00047_20130901T142016/raw-450um
caom:JCMT/scuba2_00049_20130824T151157,oCeti,34.83860817,-2.951722426,JCMTCAL,56528.63389,49,SCUBA-2,SCUBA-2-450um,192,pointing,science,raw-450um,scuba2_00049_20130824T151157,caom:JCMT/scuba2_00049_20130824T151157/raw-450um
caom:JCMT/scuba2_00048_20130928T125937,oCeti,34.83360707,-2.949916881,JCMTCAL,56563.54199,48,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00048_20130928T125937,caom:JCMT/scuba2_00048_20130928T125937/raw-450um
caom:JCMT/scuba2_00044_20130902T132152,oCeti,34.836522,-2.975194457,JCMTCAL,56537.55741,44,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,scuba2_00044_20130902T132152,caom:JCMT/scuba2_00044_20130902T132152/raw-450um
caom:JCMT/scuba2_00042_20130917T120430,oCeti,34.83624384,-2.976305559,JCMTCAL,56552.50328,42,SCUBA-2,SCUBA-2-450um,184,pointing,science,raw-450um,scuba2_00042_20130917T120430,caom:JCMT/scuba2_00042_20130917T120430/raw-450um
caom:JCMT/scuba2_00038_20130917T103622,oCeti,34.84444929,-2.972555584,JCMTCAL,56552.44399,38,SCUBA-2,SCUBA-2-450um,179,pointing,science,raw-450um,scuba2_00038_20130917T103622,caom:JCMT/scuba2_00038_20130917T103622/raw-450um
caom:JCMT/scuba2_00036_20130927T112217,oCeti,34.83207718,-2.976305559,JCMTCAL,56562.47465,36,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00036_20130927T112217,caom:JCMT/scuba2_00036_20130927T112217/raw-450um
caom:JCMT/scuba2_00027_20131005T105201,oCeti,34.83207718,-2.976166671,JCMTCAL,56570.45395,27,SCUBA-2,SCUBA-2-450um,276,pointing,science,raw-450um,scuba2_00027_20131005T105201,caom:JCMT/scuba2_00027_20131005T105201/raw-450um
caom:JCMT/scuba2_00039_20131129T074147,oCeti,34.84556751,-2.979638838,JCMTCAL,56625.32084,39,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00039_20131129T074147,caom:JCMT/scuba2_00039_20131129T074147/raw-450um
caom:JCMT/scuba2_00021_20131117T080703,oCeti,34.82637507,-2.977555512,JCMTCAL,56613.34073,21,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00021_20131117T080703,caom:JCMT/scuba2_00021_20131117T080703/raw-450um
caom:JCMT/scuba2_00024_20131117T085908,oCeti,34.83513685,-2.965889011,JCMTCAL,56613.37454,24,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00024_20131117T085908,caom:JCMT/scuba2_00024_20131117T085908/raw-450um
caom:JCMT/scuba2_00023_20131118T085122,oCeti,34.8333289,-2.960472344,JCMTCAL,56614.36979,23,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00023_20131118T085122,caom:JCMT/scuba2_00023_20131118T085122/raw-450um
caom:JCMT/scuba2_00047_20131124T113159,oCeti,34.85711051,-2.96449991,JCMTCAL,56620.48071,47,SCUBA-2,SCUBA-2-450um,249,pointing,science,raw-450um,scuba2_00047_20131124T113159,caom:JCMT/scuba2_00047_20131124T113159/raw-450um
caom:JCMT/scuba2_00033_20131127T095057,oCeti,34.82748789,-2.952416858,JCMTCAL,56623.41086,33,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00033_20131127T095057,caom:JCMT/scuba2_00033_20131127T095057/raw-450um
caom:JCMT/scuba2_00026_20131127T081331,oCeti,34.83305075,-2.960750121,JCMTCAL,56623.34352,26,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00026_20131127T081331,caom:JCMT/scuba2_00026_20131127T081331/raw-450um
caom:JCMT/scuba2_00052_20131129T105238,oCeti,34.85641512,-2.962416591,JCMTCAL,56625.45334,52,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00052_20131129T105238,caom:JCMT/scuba2_00052_20131129T105238/raw-450um
caom:JCMT/scuba2_00035_20131130T082738,oCeti,34.8337461,-2.966027884,JCMTCAL,56626.35272,35,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00035_20131130T082738,caom:JCMT/scuba2_00035_20131130T082738/raw-450um
caom:JCMT/scuba2_00008_20131206T044336,oCeti,34.85391198,-2.975472107,JCMTCAL,56632.19914,8,SCUBA-2,SCUBA-2-450um,185,pointing,science,raw-450um,scuba2_00008_20131206T044336,caom:JCMT/scuba2_00008_20131206T044336/raw-450um
caom:JCMT/scuba2_00019_20131213T075200,oCeti,34.82707054,-2.965472298,JCMTCAL,56639.32792,19,SCUBA-2,SCUBA-2-450um,273,pointing,science,raw-450um,scuba2_00019_20131213T075200,caom:JCMT/scuba2_00019_20131213T075200/raw-450um
caom:JCMT/scuba2_00022_20131214T104706,oCeti,34.85544162,-2.962972157,JCMTCAL,56640.44953,22,SCUBA-2,SCUBA-2-450um,277,pointing,science,raw-450um,scuba2_00022_20131214T104706,caom:JCMT/scuba2_00022_20131214T104706/raw-450um
caom:JCMT/scuba2_00027_20130207T050516,oCeti,34.84334222,-2.964777855,JCMTCAL,56330.21219,27,SCUBA-2,SCUBA-2-450um,258,pointing,science,raw-450um,scuba2_00027_20130207T050516,caom:JCMT/scuba2_00027_20130207T050516/raw-450um
caom:JCMT/scuba2_00026_20131213T092632,oCeti,34.85752773,-2.964499905,JCMTCAL,56639.39388,26,SCUBA-2,SCUBA-2-450um,271,pointing,science,raw-450um,scuba2_00026_20131213T092632,caom:JCMT/scuba2_00026_20131213T092632/raw-450um
caom:JCMT/scuba2_00029_20130123T071457,oCeti,34.84334222,-2.964638967,JCMTCAL,56315.30221,29,SCUBA-2,SCUBA-2-450um,256,pointing,science,raw-450um,scuba2_00029_20130123T071457,caom:JCMT/scuba2_00029_20130123T071457/raw-450um
caom:JCMT/scuba2_00035_20130929T105600,oCeti,34.83972631,-2.96977784,JCMTCAL,56564.45635,35,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00035_20130929T105600,caom:JCMT/scuba2_00035_20130929T105600/raw-450um
caom:JCMT/scuba2_00024_20131124T060031,oCeti,34.83374612,-2.958805701,JCMTCAL,56620.25051,24,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00024_20131124T060031,caom:JCMT/scuba2_00024_20131124T060031/raw-450um
caom:JCMT/scuba2_00022_20130101T072234,oCeti,34.84334222,-2.964777854,JCMTCAL,56293.30742,22,SCUBA-2,SCUBA-2-450um,255,pointing,science,raw-450um,scuba2_00022_20130101T072234,caom:JCMT/scuba2_00022_20130101T072234/raw-450um
caom:JCMT/scuba2_00019_20130203T063859,oCeti,34.84334222,-2.964638967,JCMTCAL,56326.2772,19,SCUBA-2,SCUBA-2-450um,333,pointing,science,raw-450um,scuba2_00019_20130203T063859,caom:JCMT/scuba2_00019_20130203T063859/raw-450um
caom:JCMT/scuba2_00013_20130216T044354,oCeti,34.84292499,-2.962694527,JCMTCAL,56339.19762,13,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00013_20130216T044354,caom:JCMT/scuba2_00013_20130216T044354/raw-450um
caom:JCMT/scuba2_00024_20130207T041612,oCeti,34.83458058,-2.951722429,JCMTCAL,56330.1781,24,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00024_20130207T041612,caom:JCMT/scuba2_00024_20130207T041612/raw-450um
caom:JCMT/scuba2_00020_20130825T164942,oCeti,34.84778703,-2.964638967,JCMTCAL,56529.70157,20,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00020_20130825T164942,caom:JCMT/scuba2_00020_20130825T164942/raw-450um
caom:JCMT/scuba2_00029_20130903T144406,oCeti,34.83902539,-2.951305774,JCMTCAL,56538.6141,29,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00029_20130903T144406,caom:JCMT/scuba2_00029_20130903T144406/raw-450um
caom:JCMT/scuba2_00046_20130910T130424,oCeti,34.83513125,-2.97394446,JCMTCAL,56545.54553,46,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00046_20130910T130424,caom:JCMT/scuba2_00046_20130910T130424/raw-450um
caom:JCMT/scuba2_00052_20130917T145323,oCeti,34.84778703,-2.964638967,JCMTCAL,56552.6208,52,SCUBA-2,SCUBA-2-450um,184,pointing,science,raw-450um,scuba2_00052_20130917T145323,caom:JCMT/scuba2_00052_20130917T145323/raw-450um
caom:JCMT/scuba2_00039_20130926T113315,oCeti,34.83221625,-2.975888896,JCMTCAL,56561.48227,39,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00039_20130926T113315,caom:JCMT/scuba2_00039_20130926T113315/raw-450um
caom:JCMT/scuba2_00041_20130930T120106,oCeti,34.83305071,-2.973666689,JCMTCAL,56565.50095,41,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00041_20130930T120106,caom:JCMT/scuba2_00041_20130930T120106/raw-450um
caom:JCMT/scuba2_00023_20131006T082047,oCeti,34.84139522,-2.97366669,JCMTCAL,56571.34826,23,SCUBA-2,SCUBA-2-450um,268,pointing,science,raw-450um,scuba2_00023_20131006T082047,caom:JCMT/scuba2_00023_20131006T082047/raw-450um
