Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Quality,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9931624428,13.2838054934,JCMTCAL,,57038.4438194,39,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00039_20150116T103837,caom:JCMT/scuba2_00039_20150116T103837/raw-450um
IRC+10216,146.9925916341,13.2851943757,JCMTCAL,,57034.4850116,36,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00036_20150112T113754,caom:JCMT/scuba2_00036_20150112T113754/raw-450um
IRC+10216,146.9951602427,13.2807499135,JCMTCAL,,57030.3750579,27,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00027_20150108T085702,caom:JCMT/scuba2_00027_20150108T085702/raw-450um
IRC+10216,146.9974439046,13.2922775338,JCMTCAL,,57038.6612153,61,SCUBA-2,SCUBA-2-450um,106,pointing,science,raw-450um,scuba2_00061_20150116T155142,caom:JCMT/scuba2_00061_20150116T155142/raw-450um
IRC+10216,146.9990136948,13.2915830351,JCMTCAL,,57038.6119444,57,SCUBA-2,SCUBA-2-450um,110,pointing,science,raw-450um,scuba2_00057_20150116T144040,caom:JCMT/scuba2_00057_20150116T144040/raw-450um
IRC+10216,146.993019741,13.2840832709,JCMTCAL,,57037.4413657,36,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00036_20150115T103528,caom:JCMT/scuba2_00036_20150115T103528/raw-450um
IRC+10216,146.999584556,13.2919996775,JCMTCAL,,57029.6097917,49,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00049_20150107T143728,caom:JCMT/scuba2_00049_20150107T143728/raw-450um
IRC+10216,146.9930197387,13.2839443834,JCMTCAL,,57048.4205787,15,SCUBA-2,SCUBA-2-450um,170,pointing,science,raw-450um,scuba2_00015_20150126T100225,caom:JCMT/scuba2_00015_20150126T100225/raw-450um
IRC+10216,146.9924488741,13.2815832844,JCMTCAL,,57030.5190856,41,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00041_20150108T122440,caom:JCMT/scuba2_00041_20150108T122440/raw-450um
IRC+10216,146.9914499652,13.2836666234,JCMTCAL,,57044.4354514,46,SCUBA-2,SCUBA-2-450um,106,pointing,science,raw-450um,scuba2_00046_20150122T102633,caom:JCMT/scuba2_00046_20150122T102633/raw-450um
IRC+10216,146.9947321799,13.2828332403,JCMTCAL,,57044.3595602,39,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00039_20150122T083554,caom:JCMT/scuba2_00039_20150122T083554/raw-450um
IRC+10216,146.9940186631,13.2832499199,JCMTCAL,,57034.4086343,30,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00030_20150112T094819,caom:JCMT/scuba2_00030_20150112T094819/raw-450um
IRC+10216,146.9978720362,13.2922775173,JCMTCAL,,57195.2184606,9,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00009_20150622T051128,caom:JCMT/scuba2_00009_20150622T051128/raw-450um
IRC+10216,146.9997550699,13.2825554436,JCMTCAL,,57373.4344097,45,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00045_20151217T102142,caom:JCMT/scuba2_00045_20151217T102142/raw-450um
IRC+10216,146.9987561421,13.282833244,JCMTCAL,,57373.4660185,49,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00049_20151217T111057,caom:JCMT/scuba2_00049_20151217T111057/raw-450um
IRC+10216,146.998185327,13.283111032,JCMTCAL,,57374.4766782,46,SCUBA-2,SCUBA-2-450um,65,pointing,science,raw-450um,scuba2_00046_20151218T112617,caom:JCMT/scuba2_00046_20151218T112617/raw-450um
IRC+10216,146.9984707382,13.2831110265,JCMTCAL,,57386.443831,14,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00014_20151230T103537,caom:JCMT/scuba2_00014_20151230T103537/raw-450um
IRC+10216,146.9946176305,13.2729722602,JCMTCAL,,57386.5448264,24,SCUBA-2,SCUBA-2-450um,103,pointing,science,raw-450um,scuba2_00024_20151230T130403,caom:JCMT/scuba2_00024_20151230T130403/raw-450um
IRC+10216,147.0038939273,13.2918607842,JCMTCAL,,57387.6018634,40,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00040_20151231T142556,caom:JCMT/scuba2_00040_20151231T142556/raw-450um
IRC+10216,146.993162546,13.2897776896,JCMTCAL,,57118.4018634,22,SCUBA-2,SCUBA-2-450um,52,pointing,science,raw-450um,scuba2_00022_20150406T093559,caom:JCMT/scuba2_00022_20150406T093559/raw-450um
IRC+10216,146.9875968851,13.2854721798,JCMTCAL,,57120.281088,19,SCUBA-2,SCUBA-2-450um,144,pointing,science,raw-450um,scuba2_00019_20150408T064435,caom:JCMT/scuba2_00019_20150408T064435/raw-450um
IRC+10216,147.0074339519,13.2958880983,JCMTCAL,,57048.4872685,20,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00020_20150126T114114,caom:JCMT/scuba2_00020_20150126T114114/raw-450um
IRC+10216,146.9933051448,13.2836666001,JCMTCAL,,57045.4060417,35,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00035_20150123T094415,caom:JCMT/scuba2_00035_20150123T094415/raw-450um
IRC+10216,146.9927344163,13.289777697,JCMTCAL,,57119.4114352,47,SCUBA-2,SCUBA-2-450um,82,pointing,science,raw-450um,scuba2_00047_20150407T094920,caom:JCMT/scuba2_00047_20150407T094920/raw-450um
IRC+10216,146.9900229272,13.2896388457,JCMTCAL,,57119.4750694,54,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00054_20150407T112053,caom:JCMT/scuba2_00054_20150407T112053/raw-450um
IRC+10216,146.9990137919,13.2939441296,JCMTCAL,,57151.3028588,22,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00022_20150509T071438,caom:JCMT/scuba2_00022_20150509T071438/raw-450um
IRC+10216,146.9997272609,13.2918607842,JCMTCAL,,57048.5556713,26,SCUBA-2,SCUBA-2-450um,148,pointing,science,raw-450um,scuba2_00026_20150126T132003,caom:JCMT/scuba2_00026_20150126T132003/raw-450um
IRC+10216,146.9990137173,13.2921385868,JCMTCAL,,57162.2753241,26,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00026_20150520T063554,caom:JCMT/scuba2_00026_20150520T063554/raw-450um
IRC+10216,146.9941614726,13.2876943486,JCMTCAL,,57120.3556481,31,SCUBA-2,SCUBA-2-450um,143,pointing,science,raw-450um,scuba2_00031_20150408T083019,caom:JCMT/scuba2_00031_20150408T083019/raw-450um
IRC+10216,146.9880249517,13.297555442,JCMTCAL,,57120.305463,23,SCUBA-2,SCUBA-2-450um,142,pointing,science,raw-450um,scuba2_00023_20150408T071926,caom:JCMT/scuba2_00023_20150408T071926/raw-450um
IRC+10216,147.000012762,13.2936663118,JCMTCAL,,57139.2879167,14,SCUBA-2,SCUBA-2-450um,107,pointing,science,raw-450um,scuba2_00014_20150427T065423,caom:JCMT/scuba2_00014_20150427T065423/raw-450um
IRC+10216,146.9997273447,13.2938052118,JCMTCAL,,57140.3127199,15,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00015_20150428T072719,caom:JCMT/scuba2_00015_20150428T072719/raw-450um
IRC+10216,146.9995845499,13.29186079,JCMTCAL,,57141.2798727,31,SCUBA-2,SCUBA-2-450um,256,pointing,science,raw-450um,scuba2_00031_20150429T064231,caom:JCMT/scuba2_00031_20150429T064231/raw-450um
IRC+10216,146.9990137173,13.2921385868,JCMTCAL,,57147.3172106,38,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00038_20150505T073640,caom:JCMT/scuba2_00038_20150505T073640/raw-450um
IRC+10216,146.9987282959,13.2921385976,JCMTCAL,,57161.2858333,25,SCUBA-2,SCUBA-2-450um,149,pointing,science,raw-450um,scuba2_00025_20150519T064832,caom:JCMT/scuba2_00025_20150519T064832/raw-450um
IRC+10216,146.9950175865,13.2826943454,JCMTCAL,,57029.3890509,26,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00026_20150107T091731,caom:JCMT/scuba2_00026_20150107T091731/raw-450um
IRC+10216,146.9994418448,13.2919996827,JCMTCAL,,57035.6038079,48,SCUBA-2,SCUBA-2-450um,194,pointing,science,raw-450um,scuba2_00048_20150113T142850,caom:JCMT/scuba2_00048_20150113T142850/raw-450um
IRC+10216,146.99958455,13.2918607896,JCMTCAL,,57042.5423495,41,SCUBA-2,SCUBA-2-450um,106,pointing,science,raw-450um,scuba2_00041_20150120T130015,caom:JCMT/scuba2_00041_20150120T130015/raw-450um
IRC+10216,146.9977293208,13.2921386351,JCMTCAL,,57048.6244676,32,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00032_20150126T145846,caom:JCMT/scuba2_00032_20150126T145846/raw-450um
IRC+10216,146.9994418333,13.2918607949,JCMTCAL,,57047.5197569,38,SCUBA-2,SCUBA-2-450um,148,pointing,science,raw-450um,scuba2_00038_20150125T122742,caom:JCMT/scuba2_00038_20150125T122742/raw-450um
IRC+10216,146.9898802042,13.2861666122,JCMTCAL,,57042.4775347,36,SCUBA-2,SCUBA-2-450um,106,pointing,science,raw-450um,scuba2_00036_20150120T112708,caom:JCMT/scuba2_00036_20150120T112708/raw-450um
IRC+10216,146.9964729036,13.286722138,JCMTCAL,,57373.5717361,60,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00060_20151217T134243,caom:JCMT/scuba2_00060_20151217T134243/raw-450um
IRC+10216,146.9841997443,13.2940830436,JCMTCAL,,57386.659456,37,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00037_20151230T154904,caom:JCMT/scuba2_00037_20151230T154904/raw-450um
IRC+10216,146.9980425858,13.2814443792,JCMTCAL,,57387.4337616,23,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00023_20151231T102428,caom:JCMT/scuba2_00023_20151231T102428/raw-450um
IRC+10216,146.9997272609,13.2918607842,JCMTCAL,,57045.5599769,52,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00052_20150123T132324,caom:JCMT/scuba2_00052_20150123T132324/raw-450um
IRC+10216,146.9998699712,13.2918607788,JCMTCAL,,57023.6150463,40,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00040_20150101T144532,caom:JCMT/scuba2_00040_20150101T144532/raw-450um
IRC+10216,146.9975866867,13.2942219638,JCMTCAL,,57030.6725,55,SCUBA-2,SCUBA-2-450um,144,pointing,science,raw-450um,scuba2_00055_20150108T160756,caom:JCMT/scuba2_00055_20150108T160756/raw-450um
IRC+10216,146.9998700566,13.2938052053,JCMTCAL,,57036.591412,53,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00053_20150114T141101,caom:JCMT/scuba2_00053_20150114T141101/raw-450um
IRC+10216,146.9995845441,13.291721902,JCMTCAL,,57038.5575694,51,SCUBA-2,SCUBA-2-450um,147,pointing,science,raw-450um,scuba2_00051_20150116T132210,caom:JCMT/scuba2_00051_20150116T132210/raw-450um
IRC+10216,146.9994418394,13.2918607953,JCMTCAL,,57041.584456,44,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00044_20150119T140102,caom:JCMT/scuba2_00044_20150119T140102/raw-450um
IRC+10216,146.9994418448,13.2919996827,JCMTCAL,,57046.5725579,43,SCUBA-2,SCUBA-2-450um,189,pointing,science,raw-450um,scuba2_00043_20150124T134352,caom:JCMT/scuba2_00043_20150124T134352/raw-450um
IRC+10216,146.9928770347,13.2840832732,JCMTCAL,,57047.4150926,28,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00028_20150125T095716,caom:JCMT/scuba2_00028_20150125T095716/raw-450um
