Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.83138186,-2.959027853,JCMTCAL,55816.57918,42,SCUBA-2,SCUBA-2-850um,373,pointing,science,raw-850um,scuba2_00042_20110912T135401,caom:JCMT/scuba2_00042_20110912T135401/raw-850um
oCeti,34.82776594,-2.961111167,JCMTCAL,55843.47625,51,SCUBA-2,SCUBA-2-850um,362,pointing,science,raw-850um,scuba2_00051_20111009T112548,caom:JCMT/scuba2_00051_20111009T112548/raw-850um
oCeti,34.83430243,-2.95144465,JCMTCAL,55913.31525,22,SCUBA-2,SCUBA-2-850um,288,pointing,science,raw-850um,scuba2_00022_20111218T073358,caom:JCMT/scuba2_00022_20111218T073358/raw-850um
oCeti,34.84014354,-2.971166711,JCMTCAL,55921.1963,12,SCUBA-2,SCUBA-2-850um,260,pointing,science,raw-850um,scuba2_00012_20111226T044240,caom:JCMT/scuba2_00012_20111226T044240/raw-850um
oCeti,34.82164648,-2.977361013,JCMTCAL,55764.65803,19,SCUBA-2,SCUBA-2-850um,220,pointing,science,raw-850um,scuba2_00019_20110722T154734,caom:JCMT/scuba2_00019_20110722T154734/raw-850um
oCeti,34.83722297,-2.967777824,JCMTCAL,55831.64757,65,SCUBA-2,SCUBA-2-850um,365,pointing,science,raw-850um,scuba2_00065_20110927T153230,caom:JCMT/scuba2_00065_20110927T153230/raw-850um
oCeti,34.83458052,-2.980277767,JCMTCAL,55831.41966,40,SCUBA-2,SCUBA-2-850um,360,pointing,science,raw-850um,scuba2_00040_20110927T100419,caom:JCMT/scuba2_00040_20110927T100419/raw-850um
oCeti,34.84000446,-2.971305599,JCMTCAL,55911.22252,29,SCUBA-2,SCUBA-2-850um,289,pointing,science,raw-850um,scuba2_00029_20111216T052026,caom:JCMT/scuba2_00029_20111216T052026/raw-850um
oCeti,34.83485871,-2.958333437,JCMTCAL,55828.56711,48,SCUBA-2,SCUBA-2-850um,359,pointing,science,raw-850um,scuba2_00048_20110924T133638,caom:JCMT/scuba2_00048_20110924T133638/raw-850um
oCeti,34.83221625,-2.975750008,JCMTCAL,55923.23534,19,SCUBA-2,SCUBA-2-850um,264,pointing,science,raw-850um,scuba2_00019_20111228T053853,caom:JCMT/scuba2_00019_20111228T053853/raw-850um
oCeti,34.83207718,-2.976027783,JCMTCAL,55911.25531,33,SCUBA-2,SCUBA-2-850um,290,pointing,science,raw-850um,scuba2_00033_20111216T060739,caom:JCMT/scuba2_00033_20111216T060739/raw-850um
oCeti,34.83750111,-2.967083385,JCMTCAL,55850.57514,33,SCUBA-2,SCUBA-2-850um,262,pointing,science,raw-850um,scuba2_00033_20111016T134812,caom:JCMT/scuba2_00033_20111016T134812/raw-850um
oCeti,34.82192461,-2.978333234,JCMTCAL,55778.6092,69,SCUBA-2,SCUBA-2-850um,191,pointing,science,raw-850um,scuba2_00069_20110805T143715,caom:JCMT/scuba2_00069_20110805T143715/raw-850um
oCeti,34.81858684,-2.975138755,JCMTCAL,55851.44728,19,SCUBA-2,SCUBA-2-850um,207,pointing,science,raw-850um,scuba2_00019_20111017T104405,caom:JCMT/scuba2_00019_20111017T104405/raw-850um
