Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9711851677,13.2919992586,JCMTCAL,56296.6075694,59,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00059_20130104T143410,caom:JCMT/scuba2_00059_20130104T143410/raw-450um
IRC+10216,146.9867406458,13.2856110494,JCMTCAL,56408.2776968,16,SCUBA-2,SCUBA-2-450um,172,pointing,science,raw-450um,scuba2_00016_20130426T063813,caom:JCMT/scuba2_00016_20130426T063813/raw-450um
IRC+10216,147.0064339522,13.2819993946,JCMTCAL,56624.5665046,57,SCUBA-2,SCUBA-2-450um,190,pointing,science,raw-450um,scuba2_00057_20131128T133541,caom:JCMT/scuba2_00057_20131128T133541/raw-450um
IRC+10216,146.9994418508,13.2921385703,JCMTCAL,56383.3932639,28,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,scuba2_00028_20130401T092546,caom:JCMT/scuba2_00028_20130401T092546/raw-450um
IRC+10216,146.9930197432,13.2842221591,JCMTCAL,56387.2368519,15,SCUBA-2,SCUBA-2-450um,261,pointing,science,raw-450um,scuba2_00015_20130405T054037,caom:JCMT/scuba2_00015_20130405T054037/raw-450um
IRC+10216,146.9995845559,13.2919996775,JCMTCAL,56293.6262269,57,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,scuba2_00057_20130101T150010,caom:JCMT/scuba2_00057_20130101T150010/raw-450um
IRC+10216,146.9977293256,13.292277523,JCMTCAL,56314.634294,39,SCUBA-2,SCUBA-2-450um,127,pointing,science,raw-450um,scuba2_00039_20130122T151256,caom:JCMT/scuba2_00039_20130122T151256/raw-450um
IRC+10216,146.9973011755,13.2919997682,JCMTCAL,56315.4867361,49,SCUBA-2,SCUBA-2-450um,258,pointing,science,raw-450um,scuba2_00049_20130123T114030,caom:JCMT/scuba2_00049_20130123T114030/raw-450um
IRC+10216,146.9998699778,13.2919996657,JCMTCAL,56400.3348032,21,SCUBA-2,SCUBA-2-450um,132,pointing,science,raw-450um,scuba2_00021_20130418T080128,caom:JCMT/scuba2_00021_20130418T080128/raw-450um
IRC+10216,146.9931624469,13.2840832679,JCMTCAL,56353.3102662,24,SCUBA-2,SCUBA-2-450um,175,pointing,science,raw-450um,scuba2_00024_20130302T072634,caom:JCMT/scuba2_00024_20130302T072634/raw-450um
IRC+10216,146.9931624428,13.2838054934,JCMTCAL,56609.6180324,25,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00025_20131113T144919,caom:JCMT/scuba2_00025_20131113T144919/raw-450um
IRC+10216,146.9840292,13.2857498956,JCMTCAL,56640.5274306,27,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00027_20131214T123902,caom:JCMT/scuba2_00027_20131214T123902/raw-450um
IRC+10216,146.9756105582,13.2663052889,JCMTCAL,56625.6023958,66,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00066_20131129T142654,caom:JCMT/scuba2_00066_20131129T142654/raw-450um
IRC+10216,147.0071475749,13.2831104518,JCMTCAL,56624.5632523,56,SCUBA-2,SCUBA-2-450um,104,pointing,science,raw-450um,scuba2_00056_20131128T133037,caom:JCMT/scuba2_00056_20131128T133037/raw-450um
IRC+10216,147.0034658003,13.2919996882,JCMTCAL,56423.2878588,36,SCUBA-2,SCUBA-2-450um,251,pointing,science,raw-450um,scuba2_00036_20130511T065424,caom:JCMT/scuba2_00036_20130511T065424/raw-450um
IRC+10216,146.9930197342,13.2836666075,JCMTCAL,56355.316412,39,SCUBA-2,SCUBA-2-450um,167,pointing,science,raw-450um,scuba2_00039_20130304T073514,caom:JCMT/scuba2_00039_20130304T073514/raw-450um
IRC+10216,146.9967307707,13.3065829454,JCMTCAL,56389.3146528,26,SCUBA-2,SCUBA-2-450um,175,pointing,science,raw-450um,scuba2_00026_20130407T073218,caom:JCMT/scuba2_00026_20130407T073218/raw-450um
IRC+10216,146.9987282959,13.2921385976,JCMTCAL,56333.5498727,57,SCUBA-2,SCUBA-2-450um,177,pointing,science,raw-450um,scuba2_00057_20130210T131118,caom:JCMT/scuba2_00057_20130210T131118/raw-450um
IRC+10216,146.9988710063,13.2921385922,JCMTCAL,56329.561412,58,SCUBA-2,SCUBA-2-450um,259,pointing,science,raw-450um,scuba2_00058_20130206T132758,caom:JCMT/scuba2_00058_20130206T132758/raw-450um
IRC+10216,146.9987282959,13.2921385976,JCMTCAL,56357.4911111,36,SCUBA-2,SCUBA-2-450um,259,pointing,science,raw-450um,scuba2_00036_20130306T114646,caom:JCMT/scuba2_00036_20130306T114646/raw-450um
IRC+10216,147.00103973,13.2922775567,JCMTCAL,56480.2106019,4,SCUBA-2,SCUBA-2-450um,169,pointing,science,raw-450um,scuba2_00004_20130707T050306,caom:JCMT/scuba2_00004_20130707T050306/raw-450um
IRC+10216,146.9788916079,13.2893608077,JCMTCAL,56388.326713,31,SCUBA-2,SCUBA-2-450um,289,pointing,science,raw-450um,scuba2_00031_20130406T074845,caom:JCMT/scuba2_00031_20130406T074845/raw-450um
IRC+10216,146.9990137173,13.2921385868,JCMTCAL,56314.5985648,36,SCUBA-2,SCUBA-2-450um,134,pointing,science,raw-450um,scuba2_00036_20130122T142121,caom:JCMT/scuba2_00036_20130122T142121/raw-450um
IRC+10216,147.0077181167,13.2799159861,JCMTCAL,56653.4359722,24,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00024_20131227T102412,caom:JCMT/scuba2_00024_20131227T102412/raw-450um
IRC+10216,146.9724693325,13.2946381701,JCMTCAL,56364.3754514,12,SCUBA-2,SCUBA-2-450um,166,pointing,science,raw-450um,scuba2_00012_20130313T090018,caom:JCMT/scuba2_00012_20130313T090018/raw-450um
IRC+10216,146.9988710919,13.2942219115,JCMTCAL,56416.3240509,24,SCUBA-2,SCUBA-2-450um,213,pointing,science,raw-450um,scuba2_00024_20130504T074333,caom:JCMT/scuba2_00024_20130504T074333/raw-450um
IRC+10216,146.9992991341,13.2919996884,JCMTCAL,56317.5696296,51,SCUBA-2,SCUBA-2-450um,178,pointing,science,raw-450um,scuba2_00051_20130125T134007,caom:JCMT/scuba2_00051_20130125T134007/raw-450um
IRC+10216,147.0225535263,13.2388041025,JCMTCAL,56353.3850347,33,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00033_20130302T091211,caom:JCMT/scuba2_00033_20130302T091211/raw-450um
IRC+10216,147.0038939332,13.2919996713,JCMTCAL,56428.2639236,6,SCUBA-2,SCUBA-2-450um,167,pointing,science,raw-450um,scuba2_00006_20130516T061949,caom:JCMT/scuba2_00006_20130516T061949/raw-450um
IRC+10216,146.9974439046,13.2922775338,JCMTCAL,56333.5888542,61,SCUBA-2,SCUBA-2-450um,174,pointing,science,raw-450um,scuba2_00061_20130210T140731,caom:JCMT/scuba2_00061_20130210T140731/raw-450um
IRC+10216,146.9983001634,13.2921386141,JCMTCAL,56327.5858796,51,SCUBA-2,SCUBA-2-450um,128,pointing,science,raw-450um,scuba2_00051_20130204T140315,caom:JCMT/scuba2_00051_20130204T140315/raw-450um
IRC+10216,146.9995845505,13.2918607905,JCMTCAL,56315.5512616,56,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00056_20130123T131306,caom:JCMT/scuba2_00056_20130123T131306/raw-450um
IRC+10216,146.9794624711,13.2893608186,JCMTCAL,56378.3172454,5,SCUBA-2,SCUBA-2-450um,175,pointing,science,raw-450um,scuba2_00005_20130327T073628,caom:JCMT/scuba2_00005_20130327T073628/raw-450um
IRC+10216,147.0013252234,13.29436087,JCMTCAL,56469.2221759,5,SCUBA-2,SCUBA-2-450um,205,pointing,science,raw-450um,scuba2_00005_20130626T051946,caom:JCMT/scuba2_00005_20130626T051946/raw-450um
IRC+10216,146.9935905498,13.2833888173,JCMTCAL,56306.4147338,39,SCUBA-2,SCUBA-2-450um,177,pointing,science,raw-450um,scuba2_00039_20130114T095703,caom:JCMT/scuba2_00039_20130114T095703/raw-450um
IRC+10216,146.9995845976,13.2929718899,JCMTCAL,56300.6047338,58,SCUBA-2,SCUBA-2-450um,132,pointing,science,raw-450um,scuba2_00058_20130108T143008,caom:JCMT/scuba2_00058_20130108T143008/raw-450um
IRC+10216,146.9927343313,13.2843610504,JCMTCAL,56299.4855671,38,SCUBA-2,SCUBA-2-450um,130,pointing,science,raw-450um,scuba2_00038_20130107T113842,caom:JCMT/scuba2_00038_20130107T113842/raw-450um
IRC+10216,147.009146407,13.2946379844,JCMTCAL,56328.4565509,39,SCUBA-2,SCUBA-2-450um,170,pointing,science,raw-450um,scuba2_00039_20130205T105505,caom:JCMT/scuba2_00039_20130205T105505/raw-450um
