Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Obs. ID,DOWNLOADABLE
oCeti,34.84000445,-2.968388964,JCMTCAL,56668.18818,8,SCUBA-2,SCUBA-2-850um,191,pointing,science,scuba2_00008_20140111T042942,caom:JCMT/scuba2_00008_20140111T042942/raw-850um
oCeti,34.84153426,-2.965194513,JCMTCAL,56683.19821,8,SCUBA-2,SCUBA-2-850um,188,pointing,science,scuba2_00008_20140126T044427,caom:JCMT/scuba2_00008_20140126T044427/raw-850um
oCeti,34.84125611,-2.963805642,JCMTCAL,56684.19955,10,SCUBA-2,SCUBA-2-850um,186,pointing,science,scuba2_00010_20140127T044704,caom:JCMT/scuba2_00010_20140127T044704/raw-850um
oCeti,34.83764019,-2.970888939,JCMTCAL,56833.71141,48,SCUBA-2,SCUBA-2-850um,354,pointing,science,scuba2_00048_20140625T170142,caom:JCMT/scuba2_00048_20140625T170142/raw-850um
oCeti,34.84000445,-2.968388964,JCMTCAL,56839.71819,75,SCUBA-2,SCUBA-2-850um,352,pointing,science,scuba2_00075_20140701T171306,caom:JCMT/scuba2_00075_20140701T171306/raw-850um
oCeti,34.83569314,-2.970194479,JCMTCAL,56842.74197,64,SCUBA-2,SCUBA-2-850um,329,pointing,science,scuba2_00064_20140704T174816,caom:JCMT/scuba2_00064_20140704T174816/raw-850um
oCeti,34.84056077,-2.97297225,JCMTCAL,56843.6234,51,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00051_20140705T145727,caom:JCMT/scuba2_00051_20140705T145727/raw-850um
oCeti,34.83471961,-2.972277806,JCMTCAL,56843.71293,62,SCUBA-2,SCUBA-2-850um,179,pointing,science,scuba2_00062_20140705T170631,caom:JCMT/scuba2_00062_20140705T170631/raw-850um
oCeti,34.84125611,-2.965611188,JCMTCAL,56844.74194,62,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00062_20140706T174720,caom:JCMT/scuba2_00062_20140706T174720/raw-850um
oCeti,34.84195148,-2.964777847,JCMTCAL,56957.44317,37,SCUBA-2,SCUBA-2-850um,186,pointing,science,scuba2_00037_20141027T103709,caom:JCMT/scuba2_00037_20141027T103709/raw-850um
