Source,Wavelength,Obs_ID,UT_Date,MJD,Obs_Time
IRC+10216,850,scuba2_00052_20120124T125107,20120124,55950.5361238,2012-01-24T12:52:01.099
IRC+10216,850,scuba2_00055_20120124T134353,20120124,55950.5727778,2012-01-24T13:44:48.002
IRC+10216,850,scuba2_00059_20120124T140232,20120124,55950.5857771,2012-01-24T14:03:31.139
IRC+10216,850,scuba2_00064_20120124T151153,20120124,55950.633891,2012-01-24T15:12:48.184
IRC+10216,850,scuba2_00023_20120125T080332,20120125,55951.3364061,2012-01-25T08:04:25.489
IRC+10216,850,scuba2_00031_20120125T093802,20120125,55951.4020518,2012-01-25T09:38:57.278
IRC+10216,850,scuba2_00035_20120125T105348,20120125,55951.4546599,2012-01-25T10:54:42.614
IRC+10216,850,scuba2_00044_20120125T123224,20120125,55951.5231302,2012-01-25T12:33:18.451
IRC+10216,850,scuba2_00048_20120125T134839,20120125,55951.576074,2012-01-25T13:49:32.795
IRC+10216,850,scuba2_00032_20120126T082927,20120126,55952.3544151,2012-01-26T08:30:21.464
IRC+10216,850,scuba2_00035_20120126T092208,20120126,55952.3911512,2012-01-26T09:23:15.467
IRC+10216,850,scuba2_00038_20120126T101515,20120126,55952.427888,2012-01-26T10:16:09.520
IRC+10216,850,scuba2_00045_20120126T112953,20120126,55952.4797151,2012-01-26T11:30:47.381
IRC+10216,850,scuba2_00057_20120126T131112,20120126,55952.5500776,2012-01-26T13:12:06.701
IRC+10216,850,scuba2_00063_20120126T143313,20120126,55952.6070312,2012-01-26T14:34:07.494
IRC+10216,850,scuba2_00037_20120127T083846,20120127,55953.3609168,2012-01-27T08:39:43.211
IRC+10216,850,scuba2_00045_20120127T102912,20120127,55953.437579,2012-01-27T10:30:06.823
IRC+10216,850,scuba2_00059_20120127T122818,20120127,55953.5202812,2012-01-27T12:29:12.295
IRC+10216,850,scuba2_00066_20120127T135450,20120127,55953.5803723,2012-01-27T13:55:44.164
IRC+10216,850,scuba2_00050_20120128T125816,20120128,55954.5410796,2012-01-28T12:59:09.278
IRC+10216,850,scuba2_00055_20120128T135753,20120128,55954.5825007,2012-01-28T13:58:48.058
IRC+10216,850,scuba2_00041_20120201T104658,20120201,55958.4499293,2012-02-01T10:47:53.894
IRC+10216,850,scuba2_00048_20120202T123146,20120202,55959.522693,2012-02-02T12:32:40.678
IRC+10216,850,scuba2_00060_20120202T142909,20120202,55959.6042242,2012-02-02T14:30:04.970
IRC+10216,850,scuba2_00031_20120204T082351,20120204,55961.3505253,2012-02-04T08:24:45.389
IRC+10216,850,scuba2_00038_20120204T093506,20120204,55961.4,2012-02-04T09:35:59.275
IRC+10216,850,scuba2_00029_20120205T075707,20120205,55962.3319663,2012-02-05T07:58:01.891
IRC+10216,850,scuba2_00032_20120205T085123,20120205,55962.3696509,2012-02-05T08:52:17.842
IRC+10216,850,scuba2_00036_20120205T094935,20120205,55962.4100645,2012-02-05T09:50:29.574
IRC+10216,850,scuba2_00049_20120205T125243,20120205,55962.5372848,2012-02-05T12:53:41.404
IRC+10216,850,scuba2_00054_20120205T140050,20120205,55962.5845279,2012-02-05T14:01:43.211
IRC+10216,850,scuba2_00022_20120207T072318,20120207,55964.3084634,2012-02-07T07:24:11.238
IRC+10216,850,scuba2_00025_20120207T081824,20120207,55964.3467951,2012-02-07T08:19:23.099
IRC+10216,850,scuba2_00042_20120207T122130,20120207,55964.5155693,2012-02-07T12:22:25.188
IRC+10216,850,scuba2_00048_20120207T133604,20120207,55964.5673484,2012-02-07T13:36:58.903
IRC+10216,850,scuba2_00032_20120213T092440,20120213,55970.3927809,2012-02-13T09:25:36.274
IRC+10216,850,scuba2_00017_20120218T064011,20120218,55975.2785527,2012-02-18T06:41:06.956
IRC+10216,850,scuba2_00021_20120218T073755,20120218,55975.3186161,2012-02-18T07:38:48.428
IRC+10216,850,scuba2_00024_20120218T083148,20120218,55975.356045,2012-02-18T08:32:42.284
IRC+10216,850,scuba2_00028_20120218T094922,20120218,55975.4099157,2012-02-18T09:50:16.716
IRC+10216,850,scuba2_00036_20120218T111237,20120218,55975.4677281,2012-02-18T11:13:31.704
IRC+10216,850,scuba2_00039_20120218T120748,20120218,55975.5060474,2012-02-18T12:08:42.497
IRC+10216,850,scuba2_00015_20120219T064439,20120219,55976.2816235,2012-02-19T06:45:32.275
IRC+10216,850,scuba2_00018_20120219T074231,20120219,55976.3218081,2012-02-19T07:43:24.223
IRC+10216,850,scuba2_00022_20120219T085134,20120219,55976.3697582,2012-02-19T08:52:27.106
IRC+10216,850,scuba2_00029_20120219T100754,20120219,55976.4227794,2012-02-19T10:08:48.142
IRC+10216,850,scuba2_00032_20120221T113051,20120221,55978.4803783,2012-02-21T11:31:44.688
IRC+10216,850,scuba2_00035_20120221T121310,20120221,55978.509771,2012-02-21T12:14:04.215
IRC+10216,850,scuba2_00035_20120223T114036,20120223,55980.487161,2012-02-23T11:41:30.711
IRC+10216,850,scuba2_00037_20120224T104105,20120224,55981.4459161,2012-02-24T10:42:07.148
IRC+10216,850,scuba2_00034_20120228T100728,20120228,55985.4224821,2012-02-28T10:08:22.456
IRC+10216,850,scuba2_00014_20120306T054452,20120306,55992.2401185,2012-03-06T05:45:46.239
IRC+10216,850,scuba2_00023_20120306T065956,20120306,55992.2922619,2012-03-06T07:00:51.430
IRC+10216,850,scuba2_00016_20120316T061731,20120316,56002.2628074,2012-03-16T06:18:26.555
IRC+10216,850,scuba2_00017_20120317T061033,20120317,56003.2579656,2012-03-17T06:11:28.231
IRC+10216,850,scuba2_00034_20120317T102301,20120317,56003.433294,2012-03-17T10:23:56.602
IRC+10216,850,scuba2_00015_20120318T063308,20120318,56004.2736668,2012-03-18T06:34:04.808
IRC+10216,850,scuba2_00026_20120318T091647,20120318,56004.3872992,2012-03-18T09:17:42.647
IRC+10216,850,scuba2_00015_20120319T064217,20120319,56005.2800036,2012-03-19T06:43:12.311
IRC+10216,850,scuba2_00029_20120319T093546,20120319,56005.4004669,2012-03-19T09:36:40.342
IRC+10216,850,scuba2_00023_20120322T053036,20120322,56008.2302167,2012-03-22T05:31:30.719
IRC+10216,850,scuba2_00029_20120322T065344,20120322,56008.2879747,2012-03-22T06:54:41.016
IRC+10216,850,scuba2_00049_20120322T100829,20120322,56008.423207,2012-03-22T10:09:25.087
IRC+10216,850,scuba2_00055_20120322T113143,20120322,56008.4810293,2012-03-22T11:32:40.931
IRC+10216,850,scuba2_00019_20120324T070553,20120324,56010.2964019,2012-03-24T07:06:49.120
IRC+10216,850,scuba2_0006_20120326T091242,20120326,56012.3844607,2012-03-26T09:13:37.404
IRC+10216,850,scuba2_00035_20120328T084423,20120328,56014.3648098,2012-03-28T08:45:19.565
IRC+10216,850,scuba2_00030_20120330T060935,20120330,56016.2573297,2012-03-30T06:10:33.287
IRC+10216,850,scuba2_00036_20120330T075144,20120330,56016.3282767,2012-03-30T07:52:43.103
IRC+10216,850,scuba2_00044_20120330T093354,20120330,56016.399215,2012-03-30T09:34:52.173
IRC+10216,850,scuba2_00049_20120330T105210,20120330,56016.4535748,2012-03-30T10:53:08.860
IRC+10216,850,scuba2_00018_20120331T054412,20120331,56017.2397035,2012-03-31T05:45:10.382
IRC+10216,850,scuba2_00036_20120402T102900,20120402,56019.4374663,2012-04-02T10:29:57.091
IRC+10216,850,scuba2_00018_20120403T080841,20120403,56020.3400028,2012-04-03T08:09:36.241
IRC+10216,850,scuba2_00022_20120403T082640,20120403,56020.3524914,2012-04-03T08:27:35.254
IRC+10216,850,scuba2_00014_20120409T053857,20120409,56026.2360363,2012-04-09T05:39:53.533
IRC+10216,850,scuba2_00017_20120409T063101,20120409,56026.272188,2012-04-09T06:31:57.046
IRC+10216,850,scuba2_00021_20120409T072919,20120409,56026.3126778,2012-04-09T07:30:15.363
IRC+10216,850,scuba2_00026_20120409T082850,20120409,56026.3540134,2012-04-09T08:29:46.759
IRC+10216,850,scuba2_00029_20120409T092032,20120409,56026.3899081,2012-04-09T09:21:28.060
IRC+10216,850,scuba2_00033_20120409T101702,20120409,56026.4291402,2012-04-09T10:17:57.711
IRC+10216,850,scuba2_00022_20120412T051705,20120412,56029.2208553,2012-04-12T05:18:01.900
IRC+10216,850,scuba2_00041_20120412T093722,20120412,56029.4015875,2012-04-12T09:38:17.160
IRC+10216,850,scuba2_00030_20120414T075613,20120414,56031.33135,2012-04-14T07:57:08.638
IRC+10216,850,scuba2_00012_20120416T044843,20120416,56033.2011557,2012-04-16T04:49:39.854
IRC+10216,850,scuba2_00025_20120416T073330,20120416,56033.3155909,2012-04-16T07:34:27.053
IRC+10216,850,scuba2_00040_20120416T095341,20120416,56033.4129246,2012-04-16T09:54:36.688
IRC+10216,850,scuba2_00011_20120417T050848,20120417,56034.2150873,2012-04-17T05:09:43.543
IRC+10216,850,scuba2_00019_20120417T071304,20120417,56034.30139,2012-04-17T07:14:00.092
IRC+10216,850,scuba2_00022_20120417T072813,20120417,56034.3119003,2012-04-17T07:29:08.184
IRC+10216,850,scuba2_00026_20120417T082510,20120417,56034.3514889,2012-04-17T08:26:08.641
IRC+10216,850,scuba2_00031_20120418T081749,20120418,56035.346335,2012-04-18T08:18:43.346
IRC+10216,850,scuba2_00028_20120421T082416,20120421,56038.350869,2012-04-21T08:25:15.084
IRC+10216,850,scuba2_00017_20120425T072845,20120425,56042.3122524,2012-04-25T07:29:38.605
IRC+10216,850,scuba2_00017_20120430T061318,20120430,56047.2598559,2012-04-30T06:14:11.549
IRC+10216,850,scuba2_00021_20120430T070934,20120430,56047.2989438,2012-04-30T07:10:28.745
IRC+10216,850,scuba2_00013_20120501T051701,20120501,56048.2207597,2012-05-01T05:17:53.639
IRC+10216,850,scuba2_00016_20120501T060850,20120501,56048.2567521,2012-05-01T06:09:43.383
IRC+10216,850,scuba2_00016_20120503T052812,20120503,56050.2285391,2012-05-03T05:29:05.780
IRC+10216,850,scuba2_00014_20120504T045006,20120504,56051.2020814,2012-05-04T04:50:59.833
IRC+10216,850,scuba2_00018_20120504T060305,20120504,56051.252749,2012-05-04T06:03:57.518
IRC+10216,850,scuba2_00016_20120505T043703,20120505,56052.1930202,2012-05-05T04:37:56.943
IRC+10216,850,scuba2_00022_20120505T060149,20120505,56052.2518981,2012-05-05T06:02:43.996
IRC+10216,850,Scuba2_00007_20120509T054717,20120509,56056.2417881,2012-05-09T05:48:10.496
IRC+10216,850,scuba2_00033_20120516T061609,20120516,56063.2619549,2012-05-16T06:17:12.905
IRC+10216,850,scuba2_00015_20120517T053359,20120517,56064.2326227,2012-05-17T05:34:58.599
IRC+10216,850,scuba2_00023_20120517T071058,20120517,56064.3,2012-05-17T07:11:59.380
IRC+10216,850,scuba2_00026_20120518T054219,20120518,56065.2383377,2012-05-18T05:43:12.377
IRC+10216,850,scuba2_00016_20120519T053021,20120519,56066.2300383,2012-05-19T05:31:15.311
IRC+10216,850,scuba2_00012_20120520T053508,20120520,56067.2333543,2012-05-20T05:36:01.814
IRC+10216,850,scuba2_00014_20120521T055213,20120521,56068.2452176,2012-05-21T05:53:06.802
IRC+10216,850,scuba2_00079_20121014T161851,20121014,56214.6806968,2012-10-14T16:20:12.206
IRC+10216,850,scuba2_00062_20121015T161029,20121015,56215.6748932,2012-10-15T16:11:50.776
IRC+10216,850,scuba2_00083_20121016T153427,20121016,56216.6498521,2012-10-16T15:35:47.222
IRC+10216,850,scuba2_00086_20121016T161007,20121016,56216.6746148,2012-10-16T16:11:26.720
IRC+10216,850,scuba2_00057_20121018T162819,20121018,56218.6872819,2012-10-18T16:29:41.160
IRC+10216,850,scuba2_00063_20121020T153635,20121020,56220.6512773,2012-10-20T15:37:50.356
IRC+10216,850,scuba2_00070_20121021T152145,20121021,56221.6430722,2012-10-21T15:26:01.439
IRC+10216,850,scuba2_00078_20121021T165611,20121021,56221.7066261,2012-10-21T16:57:32.492
IRC+10216,850,scuba2_00063_20121022T153326,20121022,56222.6511658,2012-10-22T15:37:40.724
IRC+10216,850,scuba2_00075_20121215T155715,20121215,56276.6658502,2012-12-15T15:58:49.458
IRC+10216,850,scuba2_00081_20121218T150117,20121218,56279.6273651,2012-12-18T15:03:24.349
IRC+10216,850,scuba2_00050_20121222T104152,20121222,56283.448859,2012-12-22T10:46:21.420
IRC+10216,850,scuba2_00053_20121222T113624,20121222,56283.4845246,2012-12-22T11:37:42.929
IRC+10216,850,scuba2_00057_20121222T123200,20121222,56283.523191,2012-12-22T12:33:23.705
IRC+10216,850,scuba2_00067_20121222T135438,20121222,56283.5817826,2012-12-22T13:57:46.020
IRC+10216,850,scuba2_00070_20121222T144737,20121222,56283.6175024,2012-12-22T14:49:12.204
IRC+10216,850,scuba2_00073_20121222T153953,20121222,56283.6537243,2012-12-22T15:41:21.781
IRC+10216,850,scuba2_00078_20121222T164444,20121222,56283.6988605,2012-12-22T16:46:21.548
IRC+10216,850,scuba2_00035_20121223T104212,20121223,56284.4490029,2012-12-23T10:46:33.847
IRC+10216,850,scuba2_00038_20121223T113710,20121223,56284.4849825,2012-12-23T11:38:22.485
IRC+10216,850,scuba2_00041_20121223T122936,20121223,56284.5214882,2012-12-23T12:30:56.577
IRC+10216,850,scuba2_00050_20121223T134013,20121223,56284.5703724,2012-12-23T13:41:20.179
IRC+10216,850,scuba2_00054_20121223T143607,20121223,56284.6095004,2012-12-23T14:37:40.839
IRC+10216,850,scuba2_00057_20121223T152932,20121223,56284.6465972,2012-12-23T15:31:05.995
IRC+10216,850,scuba2_00060_20121223T162157,20121223,56284.6829157,2012-12-23T16:23:23.917
IRC+10216,850,scuba2_00020_20121226T113620,20121226,56287.4843103,2012-12-26T11:37:24.411
IRC+10216,850,scuba2_00030_20121226T125214,20121226,56287.537107,2012-12-26T12:53:26.045
IRC+10216,850,scuba2_00034_20121226T132148,20121226,56287.5576767,2012-12-26T13:23:03.267
IRC+10216,850,scuba2_00030_20121230T150100,20121230,56291.6267885,2012-12-30T15:02:34.523
IRC+10216,850,scuba2_00032_20121230T154746,20121230,56291.6591441,2012-12-30T15:49:10.052
IRC+10216,850,scuba2_00048_20121231T115557,20121231,56292.5000832,2012-12-31T12:00:07.190
IRC+10216,850,scuba2_00036_20130101T100542,20130101,56293.4237159,2013-01-01T10:10:09.056
IRC+10216,850,scuba2_00039_20130101T105939,20130101,56293.4590218,2013-01-01T11:00:59.485
IRC+10216,850,scuba2_00043_20130101T115404,20130101,56293.4966038,2013-01-01T11:55:06.566
IRC+10216,850,scuba2_00057_20130101T150010,20130101,56293.6269098,2013-01-01T15:02:45.007
